1x2b night
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,6.777652e+04,6.800399e+04
1,6.777652e+04,6.795617e+04
2,6.777652e+04,6.795010e+04
3,6.777652e+04,6.800020e+04
4,6.777652e+04,6.803012e+04
5,6.777652e+04,6.811389e+04
6,6.777652e+04,6.815941e+04
7,6.777652e+04,6.817099e+04
8,6.777652e+04,6.817385e+04
9,6.777652e+04,6.811153e+04
10,6.777652e+04,6.800420e+04
11,6.777652e+04,6.792840e+04
12,6.777652e+04,6.794527e+04
13,6.777652e+04,6.808544e+04
14,6.777652e+04,6.813618e+04
15,6.777652e+04,6.814188e+04
16,6.777652e+04,6.807073e+04
17,6.777652e+04,6.800969e+04
18,6.777652e+04,6.806508e+04
19,6.777652e+04,6.808447e+04
20,6.777652e+04,6.807819e+04
21,6.777652e+04,6.800087e+04
22,6.777652e+04,6.798126e+04
23,6.777652e+04,6.811169e+04
24,6.777652e+04,6.818065e+04
25,6.777652e+04,6.817920e+04
26,6.777652e+04,6.812837e+04
27,6.777652e+04,6.807517e+04
28,6.777652e+04,6.807663e+04
29,6.777652e+04,6.817058e+04
30,6.777652e+04,6.818178e+04
31,6.777652e+04,6.822732e+04
32,6.777652e+04,6.823199e+04
33,6.777652e+04,6.813577e+04
34,6.777652e+04,6.811367e+04
35,6.777652e+04,6.813823e+04
36,6.777652e+04,6.804251e+04
37,6.777652e+04,6.797488e+04
38,6.777652e+04,6.811793e+04
39,6.777652e+04,6.811468e+04
40,6.777652e+04,6.815795e+04
41,6.777652e+04,6.820887e+04
42,6.777652e+04,6.815967e+04
43,6.777652e+04,6.806894e+04
44,6.777652e+04,6.795690e+04
45,6.777652e+04,6.784944e+04
46,6.777652e+04,6.781989e+04
47,6.777652e+04,6.796210e+04
48,6.777652e+04,6.812000e+04
49,6.777652e+04,6.816076e+04
50,6.777652e+04,6.815284e+04
51,6.777652e+04,6.808804e+04
52,6.777652e+04,6.814620e+04
53,6.777652e+04,6.816173e+04
54,6.777652e+04,6.814217e+04
55,6.777652e+04,6.821845e+04
56,6.777652e+04,6.829322e+04
57,6.777652e+04,6.829167e+04
58,6.777652e+04,6.830121e+04
59,6.777652e+04,6.833742e+04
60,6.777652e+04,6.829771e+04
61,6.777652e+04,6.828495e+04
62,6.777652e+04,6.822348e+04
63,6.777652e+04,6.813333e+04
64,6.777652e+04,6.798791e+04
65,6.777652e+04,6.797385e+04
66,6.777652e+04,6.804612e+04
67,6.777652e+04,6.809936e+04
68,6.777652e+04,6.828007e+04
69,6.777652e+04,6.835586e+04
70,6.777652e+04,6.850781e+04
71,6.777652e+04,6.851807e+04
72,6.777652e+04,6.852608e+04
73,6.777652e+04,6.846910e+04
74,6.777652e+04,6.837033e+04
75,6.777652e+04,6.828212e+04
76,6.777652e+04,6.814559e+04
77,6.777652e+04,6.798964e+04
78,6.777652e+04,6.789914e+04
79,6.777652e+04,6.791666e+04
80,6.777652e+04,6.801970e+04
81,6.777652e+04,6.812657e+04
82,6.777652e+04,6.827851e+04
83,6.777652e+04,6.835638e+04
84,6.777652e+04,6.834015e+04
85,6.777652e+04,6.826920e+04
86,6.777652e+04,6.822998e+04
87,6.777652e+04,6.825259e+04
88,6.777652e+04,6.850291e+04
89,6.777652e+04,6.856176e+04
90,6.777652e+04,6.877540e+04
91,6.777652e+04,6.893123e+04
92,6.777652e+04,6.898911e+04
93,6.777652e+04,6.900867e+04
94,6.777652e+04,6.906730e+04
95,6.777652e+04,6.911686e+04
96,6.777652e+04,6.916813e+04
97,6.777652e+04,6.919663e+04
98,6.777652e+04,6.928812e+04
99,6.777652e+04,6.927202e+04
100,6.777652e+04,6.942283e+04
101,6.777652e+04,6.956742e+04
102,6.777652e+04,6.944514e+04
103,6.777652e+04,6.963261e+04
104,6.777652e+04,7.001730e+04
105,6.777652e+04,7.031234e+04
106,6.777652e+04,7.033928e+04
107,6.777652e+04,7.029981e+04
108,6.777652e+04,7.033573e+04
109,6.777652e+04,7.018491e+04
110,6.777652e+04,7.027376e+04
111,6.777652e+04,7.061439e+04
112,6.777652e+04,7.038408e+04
113,6.777652e+04,7.043857e+04
114,6.777652e+04,7.064323e+04
115,6.777652e+04,7.049331e+04
116,6.777652e+04,7.009802e+04
117,6.777652e+04,6.974551e+04
118,6.777652e+04,6.969954e+04
119,6.777652e+04,6.954742e+04
120,6.777652e+04,6.940363e+04
121,6.777652e+04,6.961883e+04
122,6.777652e+04,6.951191e+04
123,6.777652e+04,6.922905e+04
124,6.777652e+04,6.945931e+04
125,6.777652e+04,7.043928e+04
126,6.777652e+04,7.078646e+04
127,6.777652e+04,7.087630e+04
128,6.777652e+04,7.078100e+04
129,6.777652e+04,7.070590e+04
130,6.777652e+04,7.086191e+04
131,6.777652e+04,7.063253e+04
132,6.777652e+04,7.030554e+04
133,6.777652e+04,7.074058e+04
134,6.777652e+04,7.096589e+04
135,6.777652e+04,7.090499e+04
136,6.777652e+04,7.062830e+04
137,6.777652e+04,7.025133e+04
138,6.777652e+04,6.988487e+04
139,6.777652e+04,6.955951e+04
140,6.777652e+04,6.920918e+04
141,6.777652e+04,6.945251e+04
142,6.777652e+04,6.995745e+04
143,6.777652e+04,7.066434e+04
144,6.777652e+04,7.074414e+04
145,6.777652e+04,7.071308e+04
146,6.777652e+04,7.075811e+04
147,6.777652e+04,7.077174e+04
148,6.777652e+04,7.057369e+04
149,6.777652e+04,7.053541e+04
150,6.777652e+04,7.010054e+04
151,6.777652e+04,6.948944e+04
152,6.777652e+04,6.903889e+04
153,6.777652e+04,6.888423e+04
154,6.777652e+04,6.902447e+04
155,6.777652e+04,6.938657e+04
156,6.777652e+04,6.950346e+04
157,6.777652e+04,6.943863e+04
158,6.777652e+04,6.933728e+04
159,6.777652e+04,6.896088e+04
160,6.777652e+04,6.863253e+04
161,6.777652e+04,6.947600e+04
162,6.777652e+04,7.014999e+04
163,6.777652e+04,7.027848e+04
164,6.777652e+04,7.032905e+04
165,6.777652e+04,7.020977e+04
166,6.777652e+04,7.019479e+04
167,6.777652e+04,7.027371e+04
168,6.777652e+04,7.018738e+04
169,6.777652e+04,7.032547e+04
170,6.777652e+04,7.060383e+04
171,6.777652e+04,7.033341e+04
172,6.777652e+04,6.983417e+04
173,6.777652e+04,6.943996e+04
174,6.777652e+04,6.969211e+04
175,6.777652e+04,7.038929e+04
176,6.777652e+04,7.055497e+04
177,6.777652e+04,7.031865e+04
178,6.777652e+04,7.043942e+04
179,6.777652e+04,7.043163e+04
180,6.777652e+04,7.017490e+04
181,6.777652e+04,7.011747e+04
182,6.777652e+04,7.027405e+04
183,6.777652e+04,6.999803e+04
184,6.777652e+04,6.950420e+04
185,6.777652e+04,6.902667e+04
186,6.777652e+04,6.887700e+04
187,6.777652e+04,6.912034e+04
188,6.777652e+04,6.926723e+04
189,6.777652e+04,6.970234e+04
190,6.777652e+04,6.999646e+04
191,6.777652e+04,7.003177e+04
192,6.777652e+04,7.000377e+04
193,6.777652e+04,6.963787e+04
194,6.777652e+04,6.901433e+04
195,6.777652e+04,6.856972e+04
196,6.777652e+04,6.864712e+04
197,6.777652e+04,6.933503e+04
198,6.777652e+04,6.953132e+04
199,6.777652e+04,6.948491e+04
200,6.777652e+04,6.908116e+04
201,6.777652e+04,6.884172e+04
202,6.777652e+04,6.910470e+04
203,6.777652e+04,6.911268e+04
204,6.777652e+04,6.900647e+04
205,6.777652e+04,6.860203e+04
206,6.777652e+04,6.876449e+04
207,6.777652e+04,6.925778e+04
208,6.777652e+04,6.939290e+04
209,6.777652e+04,6.922461e+04
210,6.777652e+04,6.902312e+04
211,6.777652e+04,6.880277e+04
212,6.777652e+04,6.905104e+04
213,6.777652e+04,6.920659e+04
214,6.777652e+04,6.924725e+04
215,6.777652e+04,6.936178e+04
216,6.777652e+04,6.908518e+04
217,6.777652e+04,6.886848e+04
218,6.777652e+04,6.892997e+04
219,6.777652e+04,6.871343e+04
220,6.777652e+04,6.837606e+04
221,6.777652e+04,6.873180e+04
222,6.777652e+04,6.879431e+04
223,6.777652e+04,6.884589e+04
224,6.777652e+04,6.900858e+04
225,6.777652e+04,6.886310e+04
226,6.777652e+04,6.859622e+04
227,6.777652e+04,6.827040e+04
228,6.777652e+04,6.796952e+04
229,6.777652e+04,6.789744e+04
230,6.777652e+04,6.828252e+04
231,6.777652e+04,6.866020e+04
232,6.777652e+04,6.871699e+04
233,6.777652e+04,6.867205e+04
234,6.777652e+04,6.851738e+04
235,6.777652e+04,6.868063e+04
236,6.777652e+04,6.864013e+04
237,6.777652e+04,6.861783e+04
238,6.777652e+04,6.881844e+04
239,6.777652e+04,6.891744e+04
240,6.777652e+04,6.884910e+04
241,6.777652e+04,6.893139e+04
242,6.777652e+04,6.888042e+04
243,6.777652e+04,6.881609e+04
244,6.777652e+04,6.872968e+04
245,6.777652e+04,6.856157e+04
246,6.777652e+04,6.830090e+04
247,6.777652e+04,6.807874e+04
248,6.777652e+04,6.824175e+04
249,6.777652e+04,6.825938e+04
250,6.777652e+04,6.857067e+04
251,6.777652e+04,6.873049e+04
252,6.777652e+04,6.897111e+04
253,6.777652e+04,6.902986e+04
254,6.777652e+04,6.900197e+04
255,6.777652e+04,6.892840e+04
256,6.777652e+04,6.873445e+04
257,6.777652e+04,6.858298e+04
258,6.777652e+04,6.834842e+04
259,6.777652e+04,6.811292e+04
260,6.777652e+04,6.796820e+04
261,6.777652e+04,6.798046e+04
262,6.777652e+04,6.814425e+04
263,6.777652e+04,6.828678e+04
264,6.777652e+04,6.844159e+04
265,6.777652e+04,6.846928e+04
266,6.777652e+04,6.838499e+04
267,6.777652e+04,6.837920e+04
268,6.777652e+04,6.830294e+04
269,6.777652e+04,6.821926e+04
270,6.777652e+04,6.829413e+04
271,6.777652e+04,6.836078e+04
272,6.777652e+04,6.875445e+04
273,6.777652e+04,6.893206e+04
274,6.777652e+04,6.888972e+04
275,6.777652e+04,6.885525e+04
276,6.777652e+04,6.896767e+04
277,6.777652e+04,6.903239e+04
278,6.777652e+04,6.904922e+04
279,6.777652e+04,6.914533e+04
280,6.777652e+04,6.931711e+04
281,6.777652e+04,6.948904e+04
282,6.777652e+04,6.957836e+04
283,6.777652e+04,6.951427e+04
284,6.777652e+04,6.936399e+04
285,6.777652e+04,6.954867e+04
286,6.777652e+04,6.942411e+04
287,6.777652e+04,6.961616e+04
288,6.777652e+04,6.993638e+04
289,6.777652e+04,7.019530e+04
290,6.777652e+04,7.022303e+04
291,6.777652e+04,7.010511e+04
292,6.777652e+04,7.015498e+04
293,6.777652e+04,7.006761e+04
294,6.777652e+04,7.007869e+04
295,6.777652e+04,7.036712e+04
296,6.777652e+04,7.013913e+04
297,6.777652e+04,7.008672e+04
298,6.777652e+04,7.024756e+04
299,6.777652e+04,7.008755e+04
300,6.777652e+04,6.969974e+04
301,6.777652e+04,6.937867e+04
302,6.777652e+04,6.930711e+04
303,6.777652e+04,6.917596e+04
304,6.777652e+04,6.905857e+04
305,6.777652e+04,6.922431e+04
306,6.777652e+04,6.906341e+04
307,6.777652e+04,6.883280e+04
308,6.777652e+04,6.922798e+04
309,6.777652e+04,6.982988e+04
310,6.777652e+04,6.996637e+04
311,6.777652e+04,6.997381e+04
312,6.777652e+04,6.979703e+04
313,6.777652e+04,6.985211e+04
314,6.777652e+04,6.980570e+04
315,6.777652e+04,6.953859e+04
316,6.777652e+04,6.953294e+04
317,6.777652e+04,6.979596e+04
318,6.777652e+04,6.978588e+04
319,6.777652e+04,6.963274e+04
320,6.777652e+04,6.937979e+04
321,6.777652e+04,6.910995e+04
322,6.777652e+04,6.890636e+04
323,6.777652e+04,6.864228e+04
324,6.777652e+04,6.869264e+04
325,6.777652e+04,6.890566e+04
326,6.777652e+04,6.932741e+04
327,6.777652e+04,6.940742e+04
328,6.777652e+04,6.933793e+04
329,6.777652e+04,6.935061e+04
330,6.777652e+04,6.933572e+04
331,6.777652e+04,6.920534e+04
332,6.777652e+04,6.916347e+04
333,6.777652e+04,6.892156e+04
334,6.777652e+04,6.859964e+04
335,6.777652e+04,6.836913e+04
336,6.777652e+04,6.830697e+04
337,6.777652e+04,6.835446e+04
338,6.777652e+04,6.852546e+04
339,6.777652e+04,6.854126e+04
340,6.777652e+04,6.850081e+04
341,6.777652e+04,6.841101e+04
342,6.777652e+04,6.823214e+04
343,6.777652e+04,6.817899e+04
344,6.777652e+04,6.861235e+04
345,6.777652e+04,6.874690e+04
346,6.777652e+04,6.877112e+04
347,6.777652e+04,6.874912e+04
348,6.777652e+04,6.868691e+04
349,6.777652e+04,6.869219e+04
350,6.777652e+04,6.868063e+04
351,6.777652e+04,6.863183e+04
352,6.777652e+04,6.875230e+04
353,6.777652e+04,6.871716e+04
354,6.777652e+04,6.853102e+04
355,6.777652e+04,6.836281e+04
356,6.777652e+04,6.834624e+04
357,6.777652e+04,6.855865e+04
358,6.777652e+04,6.864869e+04
359,6.777652e+04,6.857419e+04
360,6.777652e+04,6.856392e+04
361,6.777652e+04,6.857221e+04
362,6.777652e+04,6.848438e+04
363,6.777652e+04,6.843324e+04
364,6.777652e+04,6.847185e+04
365,6.777652e+04,6.838644e+04
366,6.777652e+04,6.824082e+04
367,6.777652e+04,6.810335e+04
368,6.777652e+04,6.805995e+04
369,6.777652e+04,6.811752e+04
370,6.777652e+04,6.815025e+04
371,6.777652e+04,6.825355e+04
372,6.777652e+04,6.830173e+04
373,6.777652e+04,6.829337e+04
374,6.777652e+04,6.826859e+04
375,6.777652e+04,6.815641e+04
376,6.777652e+04,6.800687e+04
377,6.777652e+04,6.793906e+04
378,6.777652e+04,6.799785e+04
379,6.777652e+04,6.811632e+04
380,6.777652e+04,6.812600e+04
381,6.777652e+04,6.807844e+04
382,6.777652e+04,6.798757e+04
383,6.777652e+04,6.799591e+04
