2x2a day
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,4.794828e+03,2.040460e+05
1,4.794828e+03,2.566510e+05
2,4.794828e+03,2.792269e+05
3,4.794828e+03,2.711623e+05
4,4.794828e+03,2.625876e+05
5,4.794828e+03,2.623152e+05
6,4.794828e+03,2.658965e+05
7,4.794828e+03,2.587916e+05
8,4.794828e+03,2.531279e+05
9,4.794828e+03,2.206398e+05
10,4.794828e+03,2.315195e+05
11,4.794828e+03,2.499621e+05
12,4.794828e+03,2.507375e+05
13,4.794828e+03,2.505834e+05
14,4.794828e+03,2.710367e+05
15,4.794828e+03,2.892077e+05
16,4.794828e+03,2.905510e+05
17,4.794828e+03,3.113136e+05
18,4.794828e+03,3.161966e+05
19,4.794828e+03,3.269079e+05
20,4.794828e+03,3.420677e+05
21,4.794828e+03,3.441400e+05
22,4.794828e+03,3.398044e+05
23,4.794828e+03,3.338437e+05
24,4.794828e+03,3.242800e+05
25,4.794828e+03,3.269902e+05
26,4.794828e+03,3.202913e+05
27,4.794828e+03,3.039898e+05
28,4.794828e+03,3.223266e+05
29,4.794828e+03,3.227277e+05
30,4.794828e+03,3.236801e+05
31,4.794828e+03,3.317020e+05
32,4.794828e+03,3.436993e+05
33,4.794828e+03,3.381519e+05
34,4.794828e+03,3.252100e+05
35,4.794828e+03,3.280023e+05
36,4.794828e+03,3.276090e+05
37,4.794828e+03,3.378405e+05
38,4.794828e+03,3.261724e+05
39,4.794828e+03,3.432152e+05
40,4.794828e+03,3.477649e+05
41,4.794828e+03,3.568156e+05
42,4.794828e+03,3.566364e+05
43,4.794828e+03,3.658786e+05
44,4.794828e+03,3.592356e+05
45,4.794828e+03,3.669428e+05
46,4.794828e+03,3.746207e+05
47,4.794828e+03,3.674393e+05
48,4.794828e+03,3.749417e+05
49,4.794828e+03,3.826453e+05
50,4.794828e+03,3.804803e+05
51,4.794828e+03,3.627470e+05
52,4.794828e+03,3.719649e+05
53,4.794828e+03,3.700683e+05
54,4.794828e+03,3.630851e+05
55,4.794828e+03,3.756679e+05
56,4.794828e+03,3.764693e+05
57,4.794828e+03,3.955872e+05
58,4.794828e+03,4.020785e+05
59,4.794828e+03,4.029276e+05
60,4.794828e+03,3.992385e+05
61,4.794828e+03,3.880873e+05
62,4.794828e+03,3.872318e+05
63,4.794828e+03,3.929609e+05
64,4.794828e+03,3.986855e+05
65,4.794828e+03,3.882232e+05
66,4.794828e+03,3.801371e+05
67,4.794828e+03,3.772334e+05
68,4.794828e+03,3.698626e+05
69,4.794828e+03,3.775094e+05
70,4.794828e+03,3.847087e+05
71,4.794828e+03,3.833170e+05
72,4.794828e+03,3.933837e+05
73,4.794828e+03,4.102581e+05
74,4.794828e+03,4.127213e+05
75,4.794828e+03,4.133651e+05
76,4.794828e+03,4.103381e+05
77,4.794828e+03,3.926880e+05
78,4.794828e+03,3.974618e+05
79,4.794828e+03,4.134034e+05
80,4.794828e+03,4.090412e+05
81,4.794828e+03,3.926852e+05
82,4.794828e+03,3.692585e+05
83,4.794828e+03,3.984867e+05
84,4.794828e+03,4.195647e+05
85,4.794828e+03,4.251162e+05
86,4.794828e+03,4.291554e+05
87,4.794828e+03,4.309117e+05
88,4.794828e+03,4.295591e+05
89,4.794828e+03,4.452241e+05
90,4.794828e+03,4.534390e+05
91,4.794828e+03,4.391330e+05
92,4.794828e+03,4.357115e+05
93,4.794828e+03,4.413811e+05
94,4.794828e+03,4.406971e+05
95,4.794828e+03,4.341052e+05
96,4.794828e+03,4.006963e+05
97,4.794828e+03,4.270304e+05
98,4.794828e+03,4.483112e+05
99,4.794828e+03,4.483479e+05
100,4.794828e+03,4.590077e+05
101,4.794828e+03,4.718688e+05
102,4.794828e+03,4.812725e+05
103,4.794828e+03,4.781918e+05
104,4.794828e+03,4.671616e+05
105,4.794828e+03,4.653798e+05
106,4.794828e+03,4.608489e+05
107,4.794828e+03,4.533632e+05
108,4.794828e+03,4.406193e+05
109,4.794828e+03,4.049306e+05
110,4.794828e+03,3.921362e+05
111,4.794828e+03,4.420349e+05
112,4.794828e+03,4.572844e+05
113,4.794828e+03,4.577541e+05
114,4.794828e+03,4.461343e+05
115,4.794828e+03,4.559616e+05
116,4.794828e+03,4.550818e+05
117,4.794828e+03,4.776815e+05
118,4.794828e+03,4.767490e+05
119,4.794828e+03,4.663887e+05
120,4.794828e+03,4.364244e+05
121,4.794828e+03,4.609888e+05
122,4.794828e+03,4.526223e+05
123,4.794828e+03,4.168797e+05
124,4.794828e+03,4.328859e+05
125,4.794828e+03,4.551983e+05
126,4.794828e+03,4.385852e+05
127,4.794828e+03,4.774033e+05
128,4.794828e+03,4.841043e+05
129,4.794828e+03,4.790231e+05
130,4.794828e+03,4.828963e+05
131,4.794828e+03,4.974469e+05
132,4.794828e+03,4.708576e+05
133,4.794828e+03,4.688738e+05
134,4.794828e+03,4.551346e+05
135,4.794828e+03,4.654112e+05
136,4.794828e+03,4.282044e+05
137,4.794828e+03,4.237615e+05
138,4.794828e+03,4.433564e+05
139,4.794828e+03,4.421400e+05
140,4.794828e+03,4.550688e+05
141,4.794828e+03,4.828697e+05
142,4.794828e+03,4.828950e+05
143,4.794828e+03,4.937611e+05
144,4.794828e+03,4.925746e+05
145,4.794828e+03,4.981703e+05
146,4.794828e+03,4.835275e+05
147,4.794828e+03,4.752217e+05
148,4.794828e+03,4.785940e+05
149,4.794828e+03,4.296165e+05
150,4.794828e+03,4.165067e+05
151,4.794828e+03,4.831020e+05
152,4.794828e+03,4.850959e+05
153,4.794828e+03,4.940974e+05
154,4.794828e+03,4.884629e+05
155,4.794828e+03,4.509761e+05
156,4.794828e+03,4.772007e+05
157,4.794828e+03,4.963422e+05
158,4.794828e+03,4.974721e+05
159,4.794828e+03,4.883756e+05
160,4.794828e+03,4.881497e+05
161,4.794828e+03,4.651252e+05
162,4.794828e+03,3.734926e+05
163,4.794828e+03,4.054994e+05
164,4.794828e+03,4.559328e+05
165,4.794828e+03,4.802547e+05
166,4.794828e+03,4.897107e+05
167,4.794828e+03,4.596851e+05
168,4.794828e+03,4.799965e+05
169,4.794828e+03,4.805611e+05
170,4.794828e+03,5.048848e+05
171,4.794828e+03,4.947825e+05
172,4.794828e+03,4.679166e+05
173,4.794828e+03,4.790908e+05
174,4.794828e+03,4.659382e+05
175,4.794828e+03,3.874616e+05
176,4.794828e+03,4.644474e+05
177,4.794828e+03,4.758971e+05
178,4.794828e+03,4.856765e+05
179,4.794828e+03,5.047431e+05
180,4.794828e+03,5.000359e+05
181,4.794828e+03,5.276935e+05
182,4.794828e+03,5.273733e+05
183,4.794828e+03,5.298469e+05
184,4.794828e+03,5.253263e+05
185,4.794828e+03,5.176459e+05
186,4.794828e+03,5.046104e+05
187,4.794828e+03,4.139194e+05
188,4.794828e+03,4.381107e+05
189,4.794828e+03,5.017549e+05
190,4.794828e+03,5.112452e+05
191,4.794828e+03,5.237381e+05
192,4.794828e+03,5.266005e+05
193,4.794828e+03,5.125386e+05
194,4.794828e+03,4.726024e+05
195,4.794828e+03,4.871769e+05
196,4.794828e+03,5.033027e+05
197,4.794828e+03,5.033089e+05
198,4.794828e+03,5.056914e+05
199,4.794828e+03,4.188312e+05
200,4.794828e+03,4.014177e+05
201,4.794828e+03,4.806953e+05
202,4.794828e+03,5.067687e+05
203,4.794828e+03,5.182188e+05
204,4.794828e+03,5.346914e+05
205,4.794828e+03,5.397336e+05
206,4.794828e+03,5.408556e+05
207,4.794828e+03,5.303783e+05
208,4.794828e+03,5.264943e+05
209,4.794828e+03,5.179683e+05
210,4.794828e+03,5.026457e+05
211,4.794828e+03,4.239538e+05
212,4.794828e+03,4.140205e+05
213,4.794828e+03,5.101947e+05
214,4.794828e+03,5.227060e+05
215,4.794828e+03,5.366231e+05
216,4.794828e+03,5.344182e+05
217,4.794828e+03,5.306202e+05
218,4.794828e+03,5.345445e+05
219,4.794828e+03,5.088771e+05
220,4.794828e+03,5.091241e+05
221,4.794828e+03,5.215919e+05
222,4.794828e+03,5.017366e+05
223,4.794828e+03,3.805301e+05
224,4.794828e+03,4.387431e+05
225,4.794828e+03,5.129040e+05
226,4.794828e+03,5.206236e+05
227,4.794828e+03,5.336111e+05
228,4.794828e+03,5.291035e+05
229,4.794828e+03,5.238067e+05
230,4.794828e+03,4.973432e+05
231,4.794828e+03,5.057357e+05
232,4.794828e+03,4.920175e+05
233,4.794828e+03,4.942480e+05
234,4.794828e+03,4.374797e+05
235,4.794828e+03,3.556152e+05
236,4.794828e+03,4.731164e+05
237,4.794828e+03,4.952371e+05
238,4.794828e+03,5.081611e+05
239,4.794828e+03,5.113399e+05
240,4.794828e+03,5.241532e+05
241,4.794828e+03,5.202157e+05
242,4.794828e+03,5.084029e+05
243,4.794828e+03,4.992797e+05
244,4.794828e+03,5.108286e+05
245,4.794828e+03,4.846757e+05
246,4.794828e+03,3.500661e+05
247,4.794828e+03,4.461678e+05
248,4.794828e+03,5.008547e+05
249,4.794828e+03,5.121563e+05
250,4.794828e+03,5.182485e+05
251,4.794828e+03,5.241030e+05
252,4.794828e+03,5.254561e+05
253,4.794828e+03,5.189294e+05
254,4.794828e+03,5.178833e+05
255,4.794828e+03,5.094799e+05
256,4.794828e+03,4.882080e+05
257,4.794828e+03,3.527182e+05
258,4.794828e+03,4.124147e+05
259,4.794828e+03,5.009922e+05
260,4.794828e+03,5.035456e+05
261,4.794828e+03,5.026536e+05
262,4.794828e+03,5.041776e+05
263,4.794828e+03,4.936325e+05
264,4.794828e+03,4.931146e+05
265,4.794828e+03,4.987520e+05
266,4.794828e+03,4.971583e+05
267,4.794828e+03,4.665976e+05
268,4.794828e+03,3.302697e+05
269,4.794828e+03,4.213851e+05
270,4.794828e+03,4.908260e+05
271,4.794828e+03,4.958769e+05
272,4.794828e+03,5.053979e+05
273,4.794828e+03,5.178211e+05
274,4.794828e+03,5.179750e+05
275,4.794828e+03,5.024469e+05
276,4.794828e+03,4.976076e+05
277,4.794828e+03,4.925603e+05
278,4.794828e+03,4.378109e+05
279,4.794828e+03,3.156173e+05
280,4.794828e+03,4.520212e+05
281,4.794828e+03,4.904634e+05
282,4.794828e+03,4.928821e+05
283,4.794828e+03,5.027130e+05
284,4.794828e+03,5.108012e+05
285,4.794828e+03,5.072974e+05
286,4.794828e+03,4.977317e+05
287,4.794828e+03,4.896242e+05
288,4.794828e+03,4.707222e+05
289,4.794828e+03,3.441756e+05
290,4.794828e+03,3.657102e+05
291,4.794828e+03,4.721812e+05
292,4.794828e+03,4.823763e+05
293,4.794828e+03,4.757909e+05
294,4.794828e+03,4.668538e+05
295,4.794828e+03,4.773469e+05
296,4.794828e+03,4.890148e+05
297,4.794828e+03,4.895930e+05
298,4.794828e+03,4.733896e+05
299,4.794828e+03,4.020364e+05
300,4.794828e+03,3.158204e+05
301,4.794828e+03,4.492288e+05
302,4.794828e+03,4.802856e+05
303,4.794828e+03,4.838588e+05
304,4.794828e+03,4.880042e+05
305,4.794828e+03,4.771546e+05
306,4.794828e+03,4.704981e+05
307,4.794828e+03,4.689274e+05
308,4.794828e+03,4.656682e+05
309,4.794828e+03,4.145969e+05
310,4.794828e+03,3.090831e+05
311,4.794828e+03,4.333142e+05
312,4.794828e+03,4.655265e+05
313,4.794828e+03,4.698179e+05
314,4.794828e+03,4.696777e+05
315,4.794828e+03,4.571015e+05
316,4.794828e+03,4.444854e+05
317,4.794828e+03,4.631588e+05
318,4.794828e+03,4.644747e+05
319,4.794828e+03,4.098093e+05
320,4.794828e+03,3.259594e+05
321,4.794828e+03,4.408850e+05
322,4.794828e+03,4.575642e+05
323,4.794828e+03,4.573170e+05
324,4.794828e+03,4.658275e+05
325,4.794828e+03,4.807299e+05
326,4.794828e+03,4.818067e+05
327,4.794828e+03,4.787314e+05
328,4.794828e+03,4.643051e+05
329,4.794828e+03,3.869629e+05
330,4.794828e+03,3.822976e+05
331,4.794828e+03,4.664972e+05
332,4.794828e+03,4.809788e+05
333,4.794828e+03,4.893639e+05
334,4.794828e+03,4.928546e+05
335,4.794828e+03,4.858634e+05
336,4.794828e+03,4.781145e+05
337,4.794828e+03,4.767577e+05
338,4.794828e+03,4.718552e+05
339,4.794828e+03,4.706003e+05
340,4.794828e+03,4.665678e+05
341,4.794828e+03,4.696872e+05
342,4.794828e+03,4.745954e+05
343,4.794828e+03,4.727753e+05
344,4.794828e+03,4.634914e+05
345,4.794828e+03,4.543241e+05
346,4.794828e+03,4.506474e+05
347,4.794828e+03,4.382387e+05
348,4.794828e+03,3.499748e+05
349,4.794828e+03,3.753955e+05
350,4.794828e+03,4.294986e+05
351,4.794828e+03,4.388219e+05
352,4.794828e+03,4.462862e+05
353,4.794828e+03,4.449014e+05
354,4.794828e+03,4.400691e+05
355,4.794828e+03,4.374807e+05
356,4.794828e+03,4.216300e+05
357,4.794828e+03,3.373948e+05
358,4.794828e+03,3.268309e+05
359,4.794828e+03,4.160090e+05
360,4.794828e+03,4.260214e+05
361,4.794828e+03,4.324659e+05
362,4.794828e+03,4.277672e+05
363,4.794828e+03,4.153559e+05
364,4.794828e+03,4.002128e+05
365,4.794828e+03,3.718208e+05
366,4.794828e+03,2.738579e+05
367,4.794828e+03,2.645973e+05
368,4.794828e+03,3.146077e+05
369,4.794828e+03,2.958212e+05
370,4.794828e+03,2.669116e+05
371,4.794828e+03,2.376436e+05
372,4.794828e+03,2.143353e+05
373,4.794828e+03,1.855266e+05
374,4.794828e+03,1.512770e+05
375,4.794828e+03,9.187200e+04
376,4.794828e+03,9.100155e+04
377,4.794828e+03,8.327015e+04
378,4.794828e+03,6.326157e+04
379,4.794828e+03,5.477154e+04
380,4.794828e+03,5.539012e+04
381,4.794828e+03,5.661064e+04
382,4.794828e+03,6.166631e+04
383,4.794828e+03,7.678857e+04
