2x2b day
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,4.794828e+03,4.834614e+03
1,4.794828e+03,4.839330e+03
2,4.794828e+03,4.840616e+03
3,4.794828e+03,4.843656e+03
4,4.794828e+03,4.845896e+03
5,4.794828e+03,4.848251e+03
6,4.794828e+03,4.851779e+03
7,4.794828e+03,4.853535e+03
8,4.794828e+03,4.857393e+03
9,4.794828e+03,4.859057e+03
10,4.794828e+03,4.861371e+03
11,4.794828e+03,4.863465e+03
12,4.794828e+03,4.868632e+03
13,4.794828e+03,4.868888e+03
14,4.794828e+03,4.871473e+03
15,4.794828e+03,4.875256e+03
16,4.794828e+03,4.878117e+03
17,4.794828e+03,4.882182e+03
18,4.794828e+03,4.882852e+03
19,4.794828e+03,4.887892e+03
20,4.794828e+03,4.891562e+03
21,4.794828e+03,4.892311e+03
22,4.794828e+03,4.899244e+03
23,4.794828e+03,4.898825e+03
24,4.794828e+03,4.903432e+03
25,4.794828e+03,4.907331e+03
26,4.794828e+03,4.910298e+03
27,4.794828e+03,4.913775e+03
28,4.794828e+03,4.916989e+03
29,4.794828e+03,4.921566e+03
30,4.794828e+03,4.925599e+03
31,4.794828e+03,4.927433e+03
32,4.794828e+03,4.928600e+03
33,4.794828e+03,4.933673e+03
34,4.794828e+03,4.937820e+03
35,4.794828e+03,4.938565e+03
36,4.794828e+03,4.946389e+03
37,4.794828e+03,4.945731e+03
38,4.794828e+03,4.955133e+03
39,4.794828e+03,4.984768e+03
40,4.794828e+03,4.991489e+03
41,4.794828e+03,4.992870e+03
42,4.794828e+03,4.997602e+03
43,4.794828e+03,5.003680e+03
44,4.794828e+03,5.006519e+03
45,4.794828e+03,5.009405e+03
46,4.794828e+03,5.014791e+03
47,4.794828e+03,5.016352e+03
48,4.794828e+03,5.022270e+03
49,4.794828e+03,5.030101e+03
50,4.794828e+03,5.025903e+03
51,4.794828e+03,5.032132e+03
52,4.794828e+03,5.036678e+03
53,4.794828e+03,5.038171e+03
54,4.794828e+03,5.047982e+03
55,4.794828e+03,5.045518e+03
56,4.794828e+03,5.050913e+03
57,4.794828e+03,5.054930e+03
58,4.794828e+03,5.057442e+03
59,4.794828e+03,5.059372e+03
60,4.794828e+03,5.063445e+03
61,4.794828e+03,5.071271e+03
62,4.794828e+03,5.073421e+03
63,4.794828e+03,5.071836e+03
64,4.794828e+03,5.083003e+03
65,4.794828e+03,5.084610e+03
