3x2a night
120K/
source: /home/nunop/projects/planetary/nuno/envision/data_analysis/Row_signal_PerSubBand_20231107.py
Pixel,DarkFrame[e-],LightFrame[e-]
0,6.777652e+04,6.777729e+04
1,6.777652e+04,6.777732e+04
2,6.777652e+04,6.777730e+04
3,6.777652e+04,6.777730e+04
4,6.777652e+04,6.777737e+04
5,6.777652e+04,6.777741e+04
6,6.777652e+04,6.777733e+04
7,6.777652e+04,6.777710e+04
8,6.777652e+04,6.777700e+04
9,6.777652e+04,6.777701e+04
10,6.777652e+04,6.777707e+04
11,6.777652e+04,6.777708e+04
12,6.777652e+04,6.777712e+04
13,6.777652e+04,6.777720e+04
14,6.777652e+04,6.777735e+04
15,6.777652e+04,6.777739e+04
16,6.777652e+04,6.777733e+04
17,6.777652e+04,6.777777e+04
18,6.777652e+04,6.777880e+04
19,6.777652e+04,6.778061e+04
20,6.777652e+04,6.778324e+04
21,6.777652e+04,6.778600e+04
22,6.777652e+04,6.778725e+04
23,6.777652e+04,6.779977e+04
24,6.777652e+04,6.781460e+04
25,6.777652e+04,6.783283e+04
26,6.777652e+04,6.785577e+04
27,6.777652e+04,6.788147e+04
28,6.777652e+04,6.789025e+04
29,6.777652e+04,6.797993e+04
30,6.777652e+04,6.811414e+04
31,6.777652e+04,6.830229e+04
32,6.777652e+04,6.851981e+04
33,6.777652e+04,6.874366e+04
34,6.777652e+04,6.910501e+04
35,6.777652e+04,6.952608e+04
36,6.777652e+04,7.002696e+04
37,6.777652e+04,7.056953e+04
38,6.777652e+04,7.114511e+04
39,6.777652e+04,7.179094e+04
40,6.777652e+04,7.243824e+04
41,6.777652e+04,7.314064e+04
42,6.777652e+04,7.395500e+04
43,6.777652e+04,7.469645e+04
44,6.777652e+04,7.570068e+04
45,6.777652e+04,7.648610e+04
46,6.777652e+04,7.667384e+04
47,6.777652e+04,7.529109e+04
48,6.777652e+04,7.693542e+04
49,6.777652e+04,7.977339e+04
50,6.777652e+04,8.116538e+04
51,6.777652e+04,8.179652e+04
52,6.777652e+04,8.156939e+04
53,6.777652e+04,7.998040e+04
54,6.777652e+04,7.714681e+04
55,6.777652e+04,7.249750e+04
56,6.777652e+04,7.360431e+04
57,6.777652e+04,7.763134e+04
58,6.777652e+04,7.669299e+04
59,6.777652e+04,7.890328e+04
60,6.777652e+04,8.506807e+04
61,6.777652e+04,8.920202e+04
62,6.777652e+04,9.218877e+04
63,6.777652e+04,9.418831e+04
64,6.777652e+04,9.555421e+04
65,6.777652e+04,9.725112e+04
66,6.777652e+04,9.884321e+04
67,6.777652e+04,9.942965e+04
68,6.777652e+04,1.000367e+05
69,6.777652e+04,1.004816e+05
70,6.777652e+04,9.901805e+04
71,6.777652e+04,9.679987e+04
72,6.777652e+04,9.450768e+04
73,6.777652e+04,9.141019e+04
74,6.777652e+04,9.834557e+04
75,6.777652e+04,1.018206e+05
76,6.777652e+04,1.022631e+05
77,6.777652e+04,9.914388e+04
78,6.777652e+04,9.303659e+04
79,6.777652e+04,1.019593e+05
80,6.777652e+04,1.051584e+05
81,6.777652e+04,1.056793e+05
82,6.777652e+04,1.058986e+05
83,6.777652e+04,1.036307e+05
84,6.777652e+04,9.887426e+04
85,6.777652e+04,8.974377e+04
86,6.777652e+04,7.999487e+04
87,6.777652e+04,9.441779e+04
88,6.777652e+04,1.036763e+05
89,6.777652e+04,1.065203e+05
90,6.777652e+04,1.055119e+05
91,6.777652e+04,1.047999e+05
92,6.777652e+04,1.016327e+05
93,6.777652e+04,9.643155e+04
94,6.777652e+04,1.073065e+05
95,6.777652e+04,1.142166e+05
96,6.777652e+04,1.183227e+05
97,6.777652e+04,1.206520e+05
98,6.777652e+04,1.208929e+05
99,6.777652e+04,1.214949e+05
100,6.777652e+04,1.221842e+05
101,6.777652e+04,1.198361e+05
102,6.777652e+04,1.158310e+05
103,6.777652e+04,1.205330e+05
104,6.777652e+04,1.209037e+05
105,6.777652e+04,1.143252e+05
106,6.777652e+04,1.035554e+05
107,6.777652e+04,1.167100e+05
108,6.777652e+04,1.239969e+05
109,6.777652e+04,1.264351e+05
110,6.777652e+04,1.246758e+05
111,6.777652e+04,1.201461e+05
112,6.777652e+04,1.108423e+05
113,6.777652e+04,9.499049e+04
114,6.777652e+04,8.238022e+04
115,6.777652e+04,1.008449e+05
116,6.777652e+04,1.135246e+05
117,6.777652e+04,1.191652e+05
118,6.777652e+04,1.187598e+05
119,6.777652e+04,1.142719e+05
120,6.777652e+04,1.063849e+05
121,6.777652e+04,1.022865e+05
122,6.777652e+04,1.103255e+05
123,6.777652e+04,1.176695e+05
124,6.777652e+04,1.201700e+05
125,6.777652e+04,1.168165e+05
126,6.777652e+04,1.186024e+05
127,6.777652e+04,1.213987e+05
128,6.777652e+04,1.149064e+05
129,6.777652e+04,1.140858e+05
130,6.777652e+04,1.146300e+05
131,6.777652e+04,1.050967e+05
132,6.777652e+04,1.104127e+05
133,6.777652e+04,1.200224e+05
134,6.777652e+04,1.215784e+05
135,6.777652e+04,1.203560e+05
136,6.777652e+04,1.151499e+05
137,6.777652e+04,1.085019e+05
138,6.777652e+04,9.695942e+04
139,6.777652e+04,8.227186e+04
140,6.777652e+04,8.969784e+04
141,6.777652e+04,1.044437e+05
142,6.777652e+04,1.101764e+05
143,6.777652e+04,1.121901e+05
144,6.777652e+04,1.133755e+05
145,6.777652e+04,1.111228e+05
146,6.777652e+04,1.091964e+05
147,6.777652e+04,1.046665e+05
148,6.777652e+04,9.704029e+04
149,6.777652e+04,9.103015e+04
150,6.777652e+04,9.411140e+04
151,6.777652e+04,9.156873e+04
152,6.777652e+04,9.603462e+04
153,6.777652e+04,9.906837e+04
154,6.777652e+04,9.396174e+04
155,6.777652e+04,1.008246e+05
156,6.777652e+04,1.044015e+05
157,6.777652e+04,1.055679e+05
158,6.777652e+04,1.040468e+05
159,6.777652e+04,1.006603e+05
160,6.777652e+04,9.626643e+04
161,6.777652e+04,8.812549e+04
162,6.777652e+04,7.938062e+04
163,6.777652e+04,8.805829e+04
164,6.777652e+04,9.514756e+04
165,6.777652e+04,9.451417e+04
166,6.777652e+04,9.528497e+04
167,6.777652e+04,9.411059e+04
168,6.777652e+04,9.369785e+04
169,6.777652e+04,9.184527e+04
170,6.777652e+04,9.180154e+04
171,6.777652e+04,8.945572e+04
172,6.777652e+04,8.803660e+04
173,6.777652e+04,8.609807e+04
174,6.777652e+04,8.497134e+04
175,6.777652e+04,8.352532e+04
176,6.777652e+04,8.693659e+04
177,6.777652e+04,8.655349e+04
178,6.777652e+04,8.553498e+04
179,6.777652e+04,8.501825e+04
180,6.777652e+04,8.408758e+04
181,6.777652e+04,7.981215e+04
182,6.777652e+04,7.638254e+04
183,6.777652e+04,7.793797e+04
184,6.777652e+04,8.192027e+04
185,6.777652e+04,8.273836e+04
186,6.777652e+04,8.353194e+04
187,6.777652e+04,8.160116e+04
188,6.777652e+04,8.260435e+04
189,6.777652e+04,8.275488e+04
190,6.777652e+04,8.158377e+04
191,6.777652e+04,8.120185e+04
192,6.777652e+04,8.008872e+04
193,6.777652e+04,7.999282e+04
194,6.777652e+04,8.095037e+04
195,6.777652e+04,8.130756e+04
196,6.777652e+04,7.795113e+04
197,6.777652e+04,7.956600e+04
198,6.777652e+04,7.846189e+04
199,6.777652e+04,7.561212e+04
200,6.777652e+04,7.572701e+04
201,6.777652e+04,7.868718e+04
202,6.777652e+04,8.011624e+04
203,6.777652e+04,8.127048e+04
204,6.777652e+04,7.844731e+04
205,6.777652e+04,8.031046e+04
206,6.777652e+04,8.191188e+04
207,6.777652e+04,8.177621e+04
208,6.777652e+04,8.133370e+04
209,6.777652e+04,8.302854e+04
210,6.777652e+04,8.471289e+04
211,6.777652e+04,8.213254e+04
212,6.777652e+04,8.398122e+04
213,6.777652e+04,8.353558e+04
214,6.777652e+04,7.989227e+04
215,6.777652e+04,7.955503e+04
216,6.777652e+04,7.829011e+04
217,6.777652e+04,7.850756e+04
218,6.777652e+04,7.917601e+04
219,6.777652e+04,7.902719e+04
220,6.777652e+04,8.002517e+04
221,6.777652e+04,7.946249e+04
222,6.777652e+04,8.043491e+04
223,6.777652e+04,7.795648e+04
224,6.777652e+04,7.817664e+04
225,6.777652e+04,7.620826e+04
226,6.777652e+04,7.463779e+04
227,6.777652e+04,7.447362e+04
228,6.777652e+04,7.199856e+04
229,6.777652e+04,7.255721e+04
230,6.777652e+04,7.142348e+04
231,6.777652e+04,7.097425e+04
232,6.777652e+04,7.013909e+04
233,6.777652e+04,6.962232e+04
234,6.777652e+04,6.907912e+04
235,6.777652e+04,6.862981e+04
236,6.777652e+04,6.852459e+04
237,6.777652e+04,6.823272e+04
238,6.777652e+04,6.818674e+04
239,6.777652e+04,6.804776e+04
240,6.777652e+04,6.806478e+04
241,6.777652e+04,6.797122e+04
242,6.777652e+04,6.796304e+04
243,6.777652e+04,6.790602e+04
244,6.777652e+04,6.788611e+04
245,6.777652e+04,6.785499e+04
246,6.777652e+04,6.783940e+04
247,6.777652e+04,6.782499e+04
248,6.777652e+04,6.781413e+04
249,6.777652e+04,6.780597e+04
250,6.777652e+04,6.779346e+04
251,6.777652e+04,6.779049e+04
252,6.777652e+04,6.778666e+04
253,6.777652e+04,6.778402e+04
254,6.777652e+04,6.778092e+04
255,6.777652e+04,6.777963e+04
256,6.777652e+04,6.777808e+04
257,6.777652e+04,6.777754e+04
258,6.777652e+04,6.777756e+04
259,6.777652e+04,6.777765e+04
260,6.777652e+04,6.777754e+04
261,6.777652e+04,6.777752e+04
262,6.777652e+04,6.777757e+04
